Name	Sex	Confidence	Concentration	Responsiveness	Initiative	Excitability	Hearing Sensitivity	Body Sensitivity	CR	IP	PP	CR	MP	PP	IP	HG	H1	H2	ACT	CBDC Elimination?	CBDC Outcome Reason	BehElim	MedElim	Source
09-0946	Male	4	4	4	5	5	5	5	3	1	3	5	3	4	3	5	1	5	5	0	0	0	0	TSA
09-0948	Male	3	4	5	4	4	5	5	2	1	2	5	4	3	2	4	3	5	5	0	0	0	0	TSA
09-0973	Female	4	4	3	3	3	5	4	1	1	1	4	3	2	4	4	5	4	3	1	Beh	1	0	TSA
09-0974	Male	5	4	5	5	5	5	5	3	3	3	5	4	5	2	4	5	5	5	0	0	0	0	TSA
09-0976	Female	5	4	5	4	4	5	5	3	2	2	4	4	5	5	4	5	5	5	0	0	0	0	TSA
09-0979	Female	4	4	4	4	4	5	5	1	1	1	5	3	1	2	4	5	3	5	1	Beh	1	0	TSA
09-0980	Male	5	5	5	5	4	5	5	3	3	3	5	5	5	5	4	5	5	5	0	0	0	0	TSA
09-1201	Female	5	4	5	4	4	5	5	3	2	3	5	5	5	5	4	5	5	5	0	0	0	0	TSA
09-1202	Male	4	4	5	4	5	5	5	3	2	3	5	4	4	5	4	5	5	5	0	0	0	0	TSA
09-1203	Male	5	4	4	5	4	5	5	3	3	3	5	5	3	5	4	5	5	5	0	0	0	0	TSA
09-1204	Male	5	5	4	5	5	5	5	3	3	3	5	4	5	3	4	5	5	5	0	0	0	0	TSA
09-1205	Male	4	4	4	4	5	5	5	3	1	3	5	5	5	4	4	5	5	5	0	0	0	0	TSA
09-1206	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
09-1208	Female	4	3	3	4	5	5	5	3	1	2	4	5	5	4	4	5	5	5	0	0	0	0	TSA
09-1209	Male	5	3	4	4	4	5	5	3	3	3	5	5	5	3	4	4	5	5	0	0	0	0	TSA
09-1405	Female	4	3	5	4	5	5	5	3	3	1	5	4	1	5	4	5	5	5	0	0	0	0	TSA
09-1407	Male	4	3	4	3	5	5	5	3	3	2	4	5	2	3	4	5	5	5	0	0	0	0	TSA
09-1409	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Beh	1	0	TSA
09-1410	Female	4	4	5	5	5	5	5	3	3	3	5	5	4	5	4	5	4	5	0	0	0	0	TSA
09-1411	Male	5	4	3	5	5	5	5	3	3	2	5	4	5	3	5	5	5	5	0	0	0	0	TSA
09-1412	Female	4	4	5	4	5	5	5	3	1	2	5	5	1	3	5	5	5	5	0	0	0	0	TSA
10-0391	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
10-0392	Male	5	4	5	5	4	5	5	3	2	3	5	5	5	5	4	5	5	5	0	0	0	0	TSA
10-0393	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Beh	1	0	TSA
10-0394	Male	5	4	4	4	5	5	5	3	2	3	5	3	3	3	4	5	5	5	1	Both	1	1	TSA
10-0395	Female	2	3	3	3	5	5	5	3	1	1	5	4	3	4	4	5	5	5	0	0	0	0	TSA
10-0396	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
10-0408	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Beh	1	0	TSA
10-0409	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
10-0410	Male	4	3	4	5	4	5	5	3	3	2	5	5	4	5	4	5	5	5	0	0	0	0	TSA
10-0411	Female	4	5	5	5	5	4	4	3	3	2	5	4	4	4	4	5	5	5	0	0	0	0	TSA
10-0574	Male	3	3	4	4	4	5	5	2	1	2	4	4	4	5	4	5	5	5	0	0	0	0	TSA
10-0575	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Beh	1	0	TSA
10-0576	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	TSA
10-0577	Female	4	3	4	4	4	5	5	3	2	2	4	4	2	5	4	2	5	3	0	0	0	0	TSA
10-0578	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	TSA
10-0588	Male	5	4	5	5	5	5	5	3	3	3	5	5	5	4	1	5	5	5	0	0	0	0	TSA
10-0589	Male	3	3	3	3	5	5	4	3	2	3	5	5	5	5	5	5	5	5	0	0	0	0	TSA
10-0590	Female	3	4	4	4	5	5	5	3	1	2	5	5	4	3	4	5	5	5	0	0	0	0	TSA
10-0591	Male	5	3	5	4	3	5	5	3	2	2	5	5	5	5	4	5	5	5	0	0	0	0	TSA
10-0640	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
10-0893	Female	4	3	3	4	5	5	5	3	3	3	4	3	3	3	5	5	5	5	0	0	0	0	F1
10-0894	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	F1
10-0895	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	F1
10-0896	Male	4	4	4	4	5	5	5	3	3	3	4	5	5	5	4	5	5	5	0	0	0	0	F1
10-0897	Female	5	4	4	5	5	5	4	3	3	3	5	4	5	5	4	5	5	5	0	0	0	0	F1
10-1156	Female	5	5	5	5	5	5	5	3	3	3	5	5	3	3	5	5	5	5	0	0	0	0	TSA
10-1157	Male	4	4	4	5	4	5	5	3	3	3	5	4	5	5	5	5	5	5	0	0	0	0	TSA
10-1158	Female	3	3	3	4	3	5	5	3	2	2	4	5	5	5	2	5	5	5	0	0	0	0	TSA
10-1159	Male	4	4	3	5	5	5	5	3	2	3	4	5	5	4	4	5	5	5	0	0	0	0	TSA
10-1160	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	TSA
10-1539	Female	5	4	4	5	4	5	5	3	2	3	5	4	3	3	4	5	5	5	0	0	0	0	NA
10-1776	Female	4	4	5	5	5	5	5	3	3	3	5	3	5	4	4	5	5	5	0	0	0	0	TSA
10-1770	Male	5	3	5	4	5	5	5	3	3	2	5	3	1	3	4	5	5	4	0	0	0	0	NA
10-1777	Male	3	3	3	3	4	5	5	2	2	2	5	3	4	5	4	5	5	5	0	0	0	0	TSA
10-1779	Female	4	4	5	5	5	5	5	3	3	3	5	3	5	4	4	5	2	5	0	0	0	0	TSA
11-0060	Female	4	3	4	4	4	5	5	3	2	3	5	5	5	5	4	5	5	5	0	0	0	0	TSA
11-0062	Male	3	3	2	4	4	5	5	3	2	2	4	4	3	5	4	5	5	5	0	0	0	0	TSA
11-0063	Female	4	5	4	5	5	5	5	3	3	3	5	4	5	5	4	5	5	5	0	0	0	0	TSA
11-0064	Male	3	3	5	4	4	5	3	3	3	3	4	3	3	4	4	5	5	5	0	0	0	0	TSA
11-0065	Female	5	5	4	4	5	5	5	3	3	3	5	4	4	5	4	4	5	5	0	0	0	0	TSA
11-0066	Male	3	3	3	3	4	4	3	3	2	3	4	5	3	5	2	4	5	5	0	0	0	0	TSA
11-0067	Female	3	3	4	4	3	5	3	3	1	3	5	4	2	4	4	5	4	5	0	0	0	0	TSA
11-0497	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	F1
11-0500	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	F1
11-0511	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Beh	1	0	F1
06-1192	Male	5	4	2	3	5	5	5	2	1	3	4	5	5	4	4	5	5	5	0	0	0	0	TSA
11-0498	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	F1
11-0486	Female	4	3	3	4	5	5	5	3	2	1	5	4	3	4	4	5	5	5	0	0	0	0	TSA
11-0482	Female	5	4	4	4	4	5	5	3	3	2	5	4	1	5	4	4	5	4	0	0	0	0	TSA
11-0499	Female	5	4	4	5	5	5	5	3	2	3	5	3	3	3	4	4	5	5	0	0	0	0	F1
11-0495	Male	4	4	5	5	5	5	5	3	3	3	5	4	4	4	4	5	5	5	0	0	0	0	F1
11-0512	Female	5	4	4	4	5	5	5	3	2	3	5	4	5	4	4	5	5	5	0	0	0	0	F1
02-1135	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	F1
02-1012	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	F1
02-1136	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	F1
02-1141	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	F1
02-1001	Male	4	5	3	5	3	5	5	NA	NA	NA	4	2	4	2	2	4	4	3	1	Med	0	1	F1
02-0999	Male	5	5	3	5	5	5	5	NA	NA	NA	5	5	5	5	5	5	4	5	0	0	0	0	F1
02-1048	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	F1
02-1049	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	F1
02-1046	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	F1
02-1011	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	F1
02-1070	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Beh	1	0	F1
02-1005	Male	5	4	5	5	5	5	5	NA	NA	NA	4	5	3	4	5	4	5	4	0	0	0	0	F1
02-1142	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	F1
01-0051	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	ACS
01-0049	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	ACS
02-1003	Male	5	4	5	5	4	5	5	NA	NA	NA	4	4	4	4	5	4	4	3	0	0	0	0	F1
02-1069	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	F1
02-1008	Female	4	3	3	3	5	5	5	NA	NA	NA	4	3.5	4	3	4	4.5	4.5	3	0	0	0	0	F1
02-1007	Female	5	4	5	4	5	5	5	NA	NA	NA	4	2	4	2	2	4	4	3	0	0	0	0	F1
02-1002	Male	5	3.5	4	4	3	5	5	NA	NA	NA	5	3	2	3	4	4.5	4	3	0	0	0	0	F1
04-0297	Female	3	4	4	3	5	5	5	NA	NA	NA	5	3	5	5	5	5	4	5	0	0	0	0	F1
05-0473	Male	5	3	4	4	3	5	4	3	3	3	5	4	3	3	4	5	5	5	0	0	0	0	TSA
04-0885	Male	4	3	4	3	3	5	5	NA	NA	NA	5	2	4	2	4	1	1	5	0	0	0	0	F1
04-0307	Male	0	0	0	0	0	0	0	0	0	0	5	5	4	5	4	3	4	5	0	0	0	0	TSA
02-1143	Male	3.5	3.5	5	5	2	0	5	NA	NA	NA	5	4	5	3	5	5	5	5	0	0	0	0	F1
08-0046	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
02-1006	Female	3.5	3	4	3	5	3	5	NA	NA	NA	4	2	3	2	2	4	4	5	0	0	0	0	F1
03-1039	Female	4	3.5	5	4	5	5	5	NA	NA	NA	5	1	2	1	4	2	3	3	1	Med	0	1	F1
04-0027	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
02-1009	Female	0	0	0	0	0	0	0	0	0	0	5	4	4	3	3	4	5	3	0	0	0	0	F1
01-0047	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	ACS
01-0052	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	ACS
01-0048	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ACS
05-0001	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
05-1571	Female	4	4	5	4	3	5	5	1	1	1	4	4	2	3	4	4	4	3	1	Both	1	1	TSA
06-1191	Male	5	3	4	4	5	5	5	3	2	3	4	5	5	4	5	4	5	5	0	0	0	0	TSA
06-1388	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	F1
06-0785	Female	5	3	5	4	4	5	5	3	3	3	5	3	5	4	4	5	5	5	0	0	0	0	TSA
06-0784	Female	5	3	3	4	5	5	5	3	3	3	2	4	5	3	2	5	2	5	0	0	0	0	TSA
06-0782	Female	5	4	4	4	5	5	5	3	1	2	5	5	5	2	5	5	5	5	0	0	0	0	TSA
06-1194	Female	5	3	4	3	4	5	5	3	3	3	5	5	5	4	5	5	5	5	0	0	0	0	TSA
06-1387	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	F1
06-0763	Male	4	2	5	5	4	5	5	3	2	1	5	3	3	4	5	3	2	5	1	Beh	1	0	TSA
07-0006	Male	5	4	5	5	3	5	5	3	3	3	5	5	5	5	4	5	5	5	0	0	0	0	TSA
07-0007	Male	5	4	4	5	5	5	5	3	2	3	5	5	5	5	5	5	5	5	0	0	0	0	TSA
07-0615	Female	5	4	5	5	5	5	5	3	2	3	5	5	5	3	4	5	4	5	0	0	0	0	TSA
07-0614	Male	5	4	5	5	5	5	5	3	2	3	5	5	5	4	5	5	4	5	0	0	0	0	TSA
07-0638	Female	4	3	4	4	4	5	5	3	2	2	5	4	3	2	3	5	5	5	0	0	0	0	TSA
07-1056	Female	5	2	4	5	5	5	5	3	3	3	5	5	5	3	4	5	5	5	0	0	0	0	TSA
07-1036	Male	5	3	5	4	5	5	5	3	3	3	5	4	5	3	3	5	5	5	0	0	0	0	TSA
07-1057	Male	4	4	4	3	4	5	5	3	2	2	5	2	5	3	3	5	3	4	0	0	0	0	TSA
07-1053	Male	5	3	4	5	4	5	5	3	3	3	5	4	4	1	4	5	5	5	0	0	0	0	TSA
07-1047	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Beh	1	0	TSA
07-1090	Male	3	5	3	4	5	5	5	3	3	3	5	5	3	5	4	5	5	5	0	0	0	0	F1
07-1093	Female	4	3	5	5	5	5	4	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	F1
07-0640	Female	5	4	4	5	4	5	5	3	3	3	5	4	4	5	5	5	5	5	0	0	0	0	TSA
07-1044	Female	5	4	4	5	5	5	5	3	2	3	5	3	4	3	4	5	5	5	0	0	0	0	TSA
07-1088	Male	5	3	4	5	3	5	5	3	3	3	5	4	5	5	4	4	5	5	0	0	0	0	F1
07-1094	Male	5	4	4	5	5	5	5	3	3	3	5	4	3	5	4	5	5	5	0	0	0	0	TSA
07-1049	Male	4	3	4	4	4	5	5	3	2	3	5	4	3	4	5	5	5	5	0	0	0	0	TSA
07-1531	Male	5	4	4	4	5	5	5	2	1	1	5	4	3	5	4	5	5	5	0	0	0	0	TSA
07-1562	Female	4	4	5	5	4	5	5	3	2	1	5	4	2	5	5	5	5	5	0	0	0	0	TSA
07-1557	Male	4	4	4	4	4	5	5	3	3	1	5	2	1	3	4	2	1	4	0	0	0	0	TSA
07-1529	Male	2	4	4	5	5	4	5	3	2	2	5	4	3	1	1	5	1	5	1	Beh	1	0	TSA
07-1535	Female	4	4	4	4	5	5	5	3	1	1	5	5	2	2	4	5	5	5	1	Beh	1	0	TSA
04-0306	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
08-1478	Female	5	4	5	4	4	5	5	3	1	2	5	5	2	3	4	5	5	5	0	0	0	0	TSA
07-1555	Male	3	3	4	3	5	5	5	3	2	3	5	3	5	3	5	2	3	5	0	0	0	0	TSA
08-0457	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Beh	1	0	TSA
08-1481	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	TSA
08-1587	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	TSA
03-1029	Male	3.5	3	3	2.5	3	5	4	NA	NA	NA	5	1	3	2	2	2.5	2	3	1	Beh	1	0	ACS
04-1093	Male	2	2	2	2	3	3	3	NA	NA	NA	4	2	2	1	3	1	1	2	1	Beh	1	0	TSA
05-1574	Male	3	4	4	4	5	5	5	3	2	1	5	4	1	3	5	5	4	5	1	Beh	1	0	TSA
06-0779	Male	5	3	5	4	5	5	5	3	1	2	5	2	3	3	5	5	5	5	1	Beh	1	0	TSA
06-0780	Male	5	4	5	5	5	5	5	3	3	3	5	5	5	5	4	2	3	5	0	0	0	0	TSA
07-0009	Female	4.5	5	5	4	4	5	5	3	2	3	5	3	5	5	4	4	2	4	0	0	0	0	TSA
06-0503	Male	5	3	4	5	4	5	5	3	3	3	5	3	5	4	5	5	5	5	0	0	0	0	TSA
07-1037	Male	5	3	4	4	5	5	5	3	2	3	5	4	4	3	4	5	5	5	0	0	0	0	TSA
07-1051	Female	2.5	4	4	4	4	5	5	3	3	3	5	3	3	5	4	5	5	5	0	0	0	0	TSA
08-0464	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
08-1067	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	TSA
08-0723	Female	3	3	4	4	5	4	4	2	1	1	5	3	3	5	2	4	5	5	0	0	0	0	TSA
08-0725	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	TSA
08-0644	Male	5	3	3	5	5	5	3	3	1	2	4	5	5	4	5	5	5	5	0	0	0	0	TSA
08-1162	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
08-1164	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
08-1165	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
08-1168	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
08-1517	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Beh	1	0	TSA
08-1163	Female	5	3	5	5	4	5	5	3	2	3	5	4	5	4	4	5	5	5	0	0	0	0	TSA
08-1582	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
08-1584	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
08-1585	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
08-1482	Female	3	4	5	4	4	5	5	3	2	1	5	4	1	3	4	5	5	5	0	0	0	0	TSA
08-1476	Female	5	4	5	4	4	5	5	3	2	1	5	4	1	5	4	5	5	5	0	0	0	0	TSA
08-1479	Female	4	3	5	3	4	5	5	2	1	1	5	5	1	3	4	5	4	5	0	0	0	0	TSA
08-1473	Male	5	4	5	5	5	5	5	3	2	1	5	3	3	3	4	5	5	5	0	0	0	0	TSA
08-1475	Male	4	5	5	4	5	5	5	2	2	1	5	4	3	5	4	5	5	5	0	0	0	0	TSA
08-1477	Female	5	5	4	5	4	5	5	3	3	2	5	4	3	4	4	5	5	5	0	0	0	0	TSA
08-1480	Female	4	4	5	5	4	5	5	3	1	3	5	4	1	3	4	5	5	5	0	0	0	0	TSA
08-1586	Female	3	3	3	3	4	3	4	2	1	2	5	4	3	5	4	1	1	5	1	Beh	1	0	TSA
09-0302	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	TSA
08-1520	Female	5	3	5	4	4	5	5	3	3	3	5	5	4	5	5	5	5	5	0	0	0	0	TSA
08-1583	Male	4	5	5	5	5	5	5	3	3	3	5	5	4	4	4	5	5	5	0	0	0	0	TSA
08-0648	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
08-1066	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	TSA
09-0307	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	TSA
08-1518	Male	5	4	5	5	5	5	5	3	2	3	5	3	3	5	4	5	3	5	0	0	0	0	TSA
08-1516	Male	4	4	4	4	4	5	5	3	2	3	3	3	5	5	4	4	5	4	0	0	0	0	TSA
08-1521	Female	2	2	3	4	3	4	3	2	2	1	5	3	3	5	4	5	5	5	1	Beh	1	0	TSA
08-1519	Female	5	4	4	5	4	5	5	3	2	2	3	4	3	5	4	3	5	5	1	Beh	1	0	TSA
09-0308	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	TSA
08-0458	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
09-1200	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Beh	1	0	NA
09-0945	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	TSA
09-0304	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Beh	1	0	TSA
08-0724	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	TSA
08-0462	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Beh	1	0	TSA
09-0949	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	TSA
09-0305	Male	5	2	3	5	3	5	5	3	1	3	5	4	4	3	5	5	3	5	0	0	0	0	TSA
09-0301	Female	4	3	4	4	5	5	5	3	1	1	5	4	1	3	4	5	5	5	0	0	0	0	TSA
09-1198	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Beh	1	0	NA
09-0601	Male	5	3	5	4	5	5	5	3	3	3	5	3	4	3	5	5	5	5	0	0	0	0	TSA
09-0604	Female	4	5	4	3	4	5	4	2	2	2	4	2	5	3	4	5	4	4	0	0	0	0	TSA
09-0603	Female	5	3	3	5	4	5	5	3	3	3	5	4	5	3	5	4	4	5	0	0	0	0	TSA
09-0605	Female	5	4	5	4	4	5	5	3	2	3	5	5	5	4	4	5	5	5	0	0	0	0	TSA
09-0947	Male	5	3	4	4	4	5	5	3	3	3	5	4	5	3	5	5	5	5	0	0	0	0	TSA
09-0975	Male	5	5	5	5	5	5	5	3	3	3	5	5	5	4	4	5	4	5	0	0	0	0	TSA
09-0977	Male	3	3	5	4	4	5	5	2	2	1	5	4	3	5	5	5	5	5	0	0	0	0	TSA
09-0978	Female	3	4	5	4	4	5	5	3	3	2	5	3	5	5	5	5	5	5	0	0	0	0	TSA
09-1199	Male	3	3	5	5	4	4	5	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	NA
08-1588	Male	5	4	5	5	5	5	5	3	3	3	4	3	4	3	4	2	5	5	0	0	0	0	TSA
07-1087	Male	5	4	4	5	4	5	5	3	2	3	5	5	5	5	4	5	5	5	0	0	0	0	F1
11-0943	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Beh	1	0	TSA
11-0860	Male	5	3	4	4	5	5	5	3	2	1	5	2	1	3	1	5	4	5	0	0	0	0	TSA
